Date,Home team,Score,Away team
16-09-2023,RB Leipzig,3 - 0,Augsburg
23-09-2023,M''gladbach,0 - 1,RB Leipzig
30-09-2023,RB Leipzig,2 - 2,Bayern Munich
07-10-2023,RB Leipzig,0 - 0,Bochum
21-10-2023,Darmstadt,1 - 3,RB Leipzig
28-10-2023,RB Leipzig,6 - 0,FC Koln
04-11-2023,Mainz,2 - 0,RB Leipzig
12-11-2023,RB Leipzig,3 - 1,Freiburg
25-11-2023,Wolfsburg,2 - 1,RB Leipzig
02-12-2023,RB Leipzig,2 - 1,Heidenheim
09-12-2023,Dortmund,2 - 3,RB Leipzig
16-12-2023,RB Leipzig,3 - 1,Hoffenheim
19-12-2023,Werder Bremen,1 - 1,RB Leipzig
13-01-2024,RB Leipzig,0 - 1,Ein Frankfurt
20-01-2024,RB Leipzig,2 - 3,Leverkusen
27-01-2024,Stuttgart,5 - 2,RB Leipzig
04-02-2024,RB Leipzig,2 - 0,Union Berlin
10-02-2024,Augsburg,2 - 2,RB Leipzig
17-02-2024,RB Leipzig,? - ?,M''gladbach
19-08-2023,Stuttgart,5 - 0,Bochum
25-08-2023,RB Leipzig,5 - 1,Stuttgart
02-09-2023,Stuttgart,5 - 0,Freiburg
16-09-2023,Mainz,1 - 3,Stuttgart
22-09-2023,Stuttgart,3 - 1,Darmstadt
30-09-2023,FC Koln,0 - 2,Stuttgart
07-10-2023,Stuttgart,3 - 1,Wolfsburg
21-10-2023,Union Berlin,0 - 3,Stuttgart
28-10-2023,Stuttgart,2 - 3,Hoffenheim
05-11-2023,Heidenheim,2 - 0,Stuttgart
11-11-2023,Stuttgart,2 - 1,Dortmund
25-11-2023,Ein Frankfurt,1 - 2,Stuttgart
02-12-2023,Stuttgart,2 - 0,Werder Bremen
10-12-2023,Stuttgart,1 - 1,Leverkusen
17-12-2023,Bayern Munich,3 - 0,Stuttgart
20-12-2023,Stuttgart,3 - 0,Augsburg
14-01-2024,M''gladbach,3 - 1,Stuttgart
20-01-2024,Bochum,1 - 0,Stuttgart
27-01-2024,Stuttgart,5 - 2,RB Leipzig
03-02-2024,Freiburg,1 - 3,Stuttgart
11-02-2024,Stuttgart,3 - 1,Mainz
17-02-2024,Darmstadt,? - ?,Stuttgart
20-08-2023,Union Berlin,4 - 1,Mainz
26-08-2023,Darmstadt,1 - 4,Union Berlin
03-09-2023,Union Berlin,0 - 3,RB Leipzig
16-09-2023,Wolfsburg,2 - 1,Union Berlin
23-09-2023,Union Berlin,0 - 2,Hoffenheim
30-09-2023,Heidenheim,1 - 0,Union Berlin
07-10-2023,Dortmund,4 - 2,Union Berlin
21-10-2023,Union Berlin,0 - 3,Stuttgart
28-10-2023,Werder Bremen,2 - 0,Union Berlin
04-11-2023,Union Berlin,0 - 3,Ein Frankfurt
12-11-2023,Leverkusen,4 - 0,Union Berlin
25-11-2023,Union Berlin,1 - 1,Augsburg
09-12-2023,Union Berlin,3 - 1,M''gladbach
16-12-2023,Bochum,3 - 0,Union Berlin
20-12-2023,Union Berlin,2 - 0,FC Koln
